galderaEus,galderaIng,galderaEs,erantzunZuzena,kategoriaEus,kategoriaIng,kategoriaEs,maila,irudia
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Txakurra,Animaliak 2,Animals 2,Animales 2,A2,/img/animaliak/dog.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Katua,Animaliak 2,Animals 2,Animales 2,A2,/img/animaliak/gato.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Elefantea,Animaliak 2,Animals 2,Animales 2,A2,/img/animaliak/elefante.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Txoria,Animaliak 2,Animals 2,Animales 2,A2,/img/animaliak/pajaro.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Oiloa,Animaliak 2,Animals 2,Animales 2,A2,/img/animaliak/gallina.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Sugea,Animaliak 2,Animals 2,Animales 2,A2,/img/animaliak/sugea.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Leoia,Animaliak 2,Animals 2,Animales 2,A2,/img/animaliak/leon.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Izurdea,Animaliak 2,Animals 2,Animales 2,A2,/img/animaliak/deldin.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Ardia,Animaliak 2,Animals 2,Animales 2,A2,/img/animaliak/oveja.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Jirafa,Animaliak 2,Animals 2,Animales 2,A2,/img/animaliak/jirafa.png
Zer kolore da hau?,What colour is this?¿Que color es este?,Urdina,Koloreak 2,Colours 2,Colroes 2,A2,/img/koloreak/blue.png
Zer kolore da hau?,What colour is this?¿Que color es este?,Gorria,Koloreak 2,Colours 2,Colroes 2,A2,/img/koloreak/red.png
Zer kolore da hau?,What colour is this?¿Que color es este?,Morea,Koloreak 2,Colours 2,Colroes 2,A2,/img/koloreak/morea.png
Zer kolore da hau?,What colour is this?¿Que color es este?,Berdea,Koloreak 2,Colours 2,Colroes 2,A2,/img/koloreak/green.png
Zer kolore da hau?,What colour is this?¿Que color es este?,Arrosa,Koloreak 2,Colours 2,Colroes 2,A2,/img/koloreak/pink.png
Zer kolore da hau?,What colour is this?¿Que color es este?,Grisa,Koloreak 2,Colours 2,Colroes 2,A2,/img/koloreak/gris.png
Zer kolore da hau?,What colour is this?¿Que color es este?,Zuria,Koloreak 2,Colours 2,Colroes 2,A2,/img/koloreak/zuria.png
Zer kolore da hau?,What colour is this?¿Que color es este?,Horia,Koloreak 2,Colours 2,Colroes 2,A2,/img/koloreak/horia.png
Zer kolore da hau?,What colour is this?¿Que color es este?,Larranja,Koloreak 2,Colours 2,Colroes 2,A2,/img/koloreak/laranja.png
Zer kolore da hau?,What colour is this?¿Que color es este?,Marroia,Koloreak 2,Colours 2,Colroes 2,A2,/img/koloreak/brown.png
Zer kolore da hau?,What colour is this?¿Que color es este?,Beltza,Koloreak 2,Colours 2,Colroes 2,A2,/img/koloreak/black.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Lau,Zenbakiak 2,Numbers 2,Numeros 2,A2,/img/zenbakiak/cuatro.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Zero,Zenbakiak 2,Numbers 2,Numeros 2,A2,/img/zenbakiak/zero.png
