galderaEus,galderaIng,galderaEs,aukera0,aukera1,aukera2,aukera3,erantzunZuzena,kategoriaEus,kategoriaIng,kategoriaEs,maila,irudia
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Katua,Txakurra,Txoria,Elefantea,Txakurra,Animaliak,Animals,Animales,A1,/img/animaliak/dog.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Txakurra,Leoia,Xagua,Katua,Katua,Animaliak,Animals,Animales,A1,/img/animaliak/gato.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Elefantea,Sugea,Txoria,Oiloa,Elefantea,Animaliak,Animals,Animales,A1,/img/animaliak/elefante.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Elefantea,Sugea,Txoria,Oiloa,Txoria,Animaliak,Animals,Animales,A1,/img/animaliak/pajaro.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Txakurra,Sugea,Katua,Oiloa,Oiloa,Animaliak,Animals,Animales,A1,/img/animaliak/gallina.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Sugea,Katua,Ardia,Xagua,Sugea,Animaliak,Animals,Animales,A1,/img/animaliak/sugea.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Izurdea,Leoia,Katua,Txoria,Leoia,Animaliak,Animals,Animales,A1,/img/animaliak/leon.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Izurdea,Txakurra,Katua,Ahatea,Izurdea,Animaliak,Animals,Animales,A1,/img/animaliak/deldin.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Elefantea,Izurdea,Ardia,Ahatea,Ardia,Animaliak,Animals,Animales,A1,/img/animaliak/oveja.png
Zer animalia da hau?,What animal is this?,¿Que animal es este?,Jirafa,Katua,Txoria,Elefantea,Jirafa,Animaliak,Animals,Animales,A1,/img/animaliak/jirafa.png
Zer kolore da hau?,What colour is this?,¿Que color es este?,Urdina,Gorria,Berdea,Arrosa,Urdina,Koloreak,Colours,Colroes,A1,/img/koloreak/blue.png
Zer kolore da hau?,What colour is this?,¿Que color es este?,Marroia,Laranja,Berdea,Gorria,Gorria,Koloreak,Colours,Colroes,A1,/img/koloreak/red.png
Zer kolore da hau?,What colour is this?,¿Que color es este?,Arrosa,Morea,Berdea,Beltza,Morea,Koloreak,Colours,Colroes,A1,/img/koloreak/morea.png
Zer kolore da hau?,What colour is this?,¿Que color es este?,Zuria,Gorria,Berdea,Marroia,Berdea,Koloreak,Colours,Colroes,A1,/img/koloreak/green.png
Zer kolore da hau?,What colour is this?,¿Que color es este?,Gorria,Beltza,Urdina,Arrosa,Arrosa,Koloreak,Colours,Colroes,A1,/img/koloreak/pink.png
Zer kolore da hau?,What colour is this?,¿Que color es este?,Grisa,Gorria,Laranja,Zuria,Grisa,Koloreak,Colours,Colroes,A1,/img/koloreak/gris.png
Zer kolore da hau?,What colour is this?,¿Que color es este?,Zuria,Urdina,Berdea,Arrosa,Zuria,Koloreak,Colours,Colroes,A1,/img/koloreak/zuria.png
Zer kolore da hau?,What colour is this?,¿Que color es este?,Urdina,Gorria,Horia,Morea,Horia,Koloreak,Colours,Colroes,A1,/img/koloreak/horia.png
Zer kolore da hau?,What colour is this?,¿Que color es este?,Horia,Laranja,Berdea,Arrosa,Larranja,Koloreak,Colours,Colroes,A1,/img/koloreak/laranja.png
Zer kolore da hau?,What colour is this?,¿Que color es este?,Marroia,Gorria,Zuria,Beltza,Marroia,Koloreak,Colours,Colroes,A1,/img/koloreak/brown.png
Zer kolore da hau?,What colour is this?,¿Que color es este?,Urdina,Horia,Gorria,Beltza,Beltza,Koloreak,Colours,Colroes,A1,/img/koloreak/black.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Bat,Lau,Zazpi,Hamar,Lau,Zenbakiak,Numbers,Numeros,A1,/img/zenbakiak/cuatro.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Bost,Hiru,Sei,Zero,Zero,Zenbakiak,Numbers,Numeros,A1,/img/zenbakiak/zero.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Bi,Bat,Zorzti,Bost,Bi,Zenbakiak,Numbers,Numeros,A1,/img/zenbakiak/dos.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Hamar,Zazpi,Bederatzi,Lau,Zazpi,Zenbakiak,Numbers,Numeros,A1,/img/zenbakiak/siete.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Zero,Bat,Bederatzi,Hiru,Bederatzi,Zenbakiak,Numbers,Numeros,A1,/img/zenbakiak/nueve.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Bost,Zortzi,Zazpi,Bat,Bost,Zenbakiak,Numbers,Numeros,A1,/img/zenbakiak/cinco.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Sei,Hamar,Zortzi,Hiru,Zortzi,Zenbakiak,Numbers,Numeros,A1,/img/zenbakiak/ocho.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Sei,Bi,Zero,Lau,Sei,Zenbakiak,Numbers,Numeros,A1,/img/zenbakiak/seis.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Lau,Hamar,Bat,Bederatzi,Hamar,Zenbakiak,Numbers,Numeros,A1,/img/zenbakiak/diez.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Zero,Zortzi,Hiru,Bat,Bat,Zenbakiak,Numbers,Numeros,A1,/img/zenbakiak/uno.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Liburua,Aulkia,Telebista,Ispilua,Aulkia,Gauzak,Things,Cosas,A1,/img/gauzak/silla.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Mahaia,Arkatza,Ohea,Erlojua,Mahaia,Gauzak,Things,Cosas,A1,/img/gauzak/mesa.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Lehioa,Giltza,Liburua,Atea,Liburua,Gauzak,Things,Cosas,A1,/img/gauzak/libro.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Ispilua,Telebista,Mahaia,Lehioa,Telebista,Gauzak,Things,Cosas,A1,/img/gauzak/tele.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Erlojua,Giltza,Ohea,Telefonoa,Ohea,Gauzak,Things,Cosas,A1,/img/gauzak/cama.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Atea,Arkatza,Liburua,Aulkia,Atea,Gauzak,Things,Cosas,A1,/img/gauzak/puerta.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Mahaia,Telebista,Ispilua,Erlojua,Erlojua,Gauzak,Things,Cosas,A1,/img/gauzak/reloj.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Giltza,Ohea,Lehioa,Atea,Giltza,Gauzak,Things,Cosas,A1,/img/gauzak/llave.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Liburua,Mahaia,Telefonoa,Arkatza,Telefonoa,Gauzak,Things,Cosas,A1,/img/gauzak/phone.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Erlojua,Ispilua,Giltza,Telebista,Ispilua,Gauzak,Things,Cosas,A1,/img/gauzak/espejo.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Atea,Lehioa,Ohea,Arkatza,Arkatza,Gauzak,Things,Cosas,A1,/img/gauzak/lapiz.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Liburua,Telefonoa,Lehioa,Ahulkia,Lehioa,Gauzak,Things,Cosas,A1,/img/gauzak/ventana.png
